C	Month	Day	Hour	Minute	DOY	TOD	DEC	zm	hc	z0	umean	h	ol	sigmav	ustar	wind_dir	Incident Solar
								2	0.4	0.06	0.686934	3000	-21.3218	0.563095	0.207626	82.1292	
								2	0.4	0.06	0.653108	3000	-28.9621	0.32865	0.146686	109.044	
								2	0.4	0.06	0.740738	3000	10.2935	0.330713	0.106023	141.507	
								2	0.4	0.06	0.749828	3000	8.07897	0.236431	0.113834	134.681	
								2	0.4	0.06	0.490839	3000	-1.70994	0.350693	0.0524683	146.302	
								2	0.4	0.06	0.271283	3000	-3.41696	0.145481	0.0357251	187.008	
								2	0.4	0.06	0.551522	3000	1.94459	0.155746	0.0449405	181.054	
								2	0.4	0.06	0.432195	3000	10.4246	0.37364	0.0805128	230.949	
								2	0.4	0.06	0.950165	3000	2.45743	0.169989	0.0584274	191.395	
								2	0.4	0.06	1.15724	3000	4.5282	0.140302	0.073867	181.033	
								2	0.4	0.06	0.869389	3000	4.8967	0.126846	0.0847907	183.33	
								2	0.4	0.06	0.0671397	3000	2.38006	0.387161	-9999	179.787	
								2	0.4	0.06	0.253413	3000	28.8287	0.173803	-9999	261.941	
								2	0.4	0.06	0.225716	3000	-488.859	0.36108	0.0361772	218.601	
								2	0.4	0.06	0.250664	3000	-2.0997	0.0810943	0.045832	109.129	
								2	0.4	0.06	0.390994	3000	-25.9684	0.185129	0.0781409	137.532	
								2	0.4	0.06	0.383141	3000	-1.10143	0.316717	0.0366373	40.9163	
								2	0.4	0.06	0.547341	3000	9.08824	0.305602	0.110742	69.7547	
								2	0.4	0.06	0.338797	3000	-6.7659	0.334135	0.091601	116.001	
								2	0.4	0.06	0.0241165	3000	-13.6922	0.211919	-9999	277.561	
								2	0.4	0.06	0.0524687	3000	8.22773	0.240902	-9999	207.552	
								2	0.4	0.06	0.197755	3000	-1.4438	0.186868	0.052013	346.951	
								2	0.4	0.06	0.723302	3000	5.03675	0.181813	0.057278	302.558	
								2	0.4	0.06	0.740406	3000	-6.81286	0.155412	0.0320399	319.635	
								2	0.4	0.06	0.196658	3000	0.980675	0.15537	0.0471237	133.144	
								2	0.4	0.06	0.228894	3000	126.494	0.170085	0.0568382	89.5742	
								2	0.4	0.06	0.0686471	3000	4.16745	0.167889	-9999	256.588	
								2	0.4	0.06	0.193448	3000	15.2994	0.109947	0.0471552	143.909	
								2	0.4	0.06	0.0778433	3000	3.50912	0.063996	-9999	101.953	
								2	0.4	0.06	0.109547	3000	-0.871115	0.0916042	0.0276184	102.822	
								2	0.4	0.06	0.197614	3000	-0.813353	0.138964	0.0412656	133.759	
								2	0.4	0.06	0.25729	3000	-1.2918	0.188899	0.0703464	68.2878	
								2	0.4	0.06	0.553365	3000	58.267	0.234405	0.158273	54.1834	
								2	0.4	0.06	0.778397	3000	-9.46808	0.311237	0.158096	45.2162	
								2	0.4	0.06	0.513625	3000	-1.85021	0.356276	0.129175	59.6912	
								2	0.4	0.06	0.46051	3000	-2.47756	0.358027	0.142069	7.60099	
								2	0.4	0.06	0.548744	3000	-4.5958	0.403634	0.188221	325.945	
								2	0.4	0.06	0.359178	3000	-1.4994	0.425601	0.117239	359.781	
								2	0.4	0.06	0.314569	3000	-3.93949	0.553671	-9999	86.1704	
								2	0.4	0.06	0.278372	3000	-6.72411	0.671179	-9999	4.21325	
								2	0.4	0.06	0.496135	3000	-2.65748	0.59644	0.136144	344.578	
								2	0.4	0.06	0.600421	3000	-5.34612	0.423964	0.186783	325.383	
								2	0.4	0.06	0.561924	3000	-2.44665	0.557706	0.154087	90.7022	
								2	0.4	0.06	0.402156	3000	-6.2787	0.500225	0.185866	94.0342	
								2	0.4	0.06	0.373591	3000	-4.25152	0.453974	0.128458	315.972	
								2	0.4	0.06	0.682915	3000	-4.94175	0.423887	0.159612	38.7746	
								2	0.4	0.06	0.773058	3000	-13.7438	0.428739	0.128023	341.99	
								2	0.4	0.06	0.638169	3000	3.06626	0.250635	0.0710267	317.161	
								2	0.4	0.06	0.39807	3000	-18.7269	0.301321	0.0600213	229.953	
								2	0.4	0.06	0.131202	3000	2.78007	0.276798	0.0485542	255.658	
								2	0.4	0.06	0.409046	3000	0.617455	0.21647	0.0393655	338.516	
								2	0.4	0.06	0.467754	3000	-6.04727	0.1813	0.0535312	292.315	
								2	0.4	0.06	0.859426	3000	-0.126465	0.159212	0.0130462	285.2	
								2	0.4	0.06	0.485974	3000	-0.0829005	0.0695098	0.0197559	286.475	
								2	0.4	0.06	0.257203	3000	-1.58171	0.159251	0.0295794	213.189	
								2	0.4	0.06	0.155425	3000	-5.96496	0.393697	0.0380231	212.366	
								2	0.4	0.06	0.15557	3000	-3.44844	0.129691	0.0680782	130.383	
								2	0.4	0.06	0.652795	3000	-2.66227	0.369705	0.0852994	247.714	
								2	0.4	0.06	1.09973	3000	0.0693146	0.341847	0.0186532	274.791	
								2	0.4	0.06	1.08177	3000	17.427	0.313103	0.080447	268.055	
								2	0.4	0.06	1.52773	3000	1.63029	0.187292	0.0621088	289.019	
								2	0.4	0.06	1.45473	3000	3.4189	0.198629	0.106769	275.474	
								2	0.4	0.06	1.86623	3000	3.70174	0.230546	0.115796	279.002	
								2	0.4	0.06	1.77202	3000	3.39215	0.19303	0.105884	276.944	
								2	0.4	0.06	2.12356	3000	8.30869	0.307844	0.192368	275.683	
								2	0.4	0.06	2.23679	3000	8.88386	0.302965	0.197518	271.161	
								2	0.4	0.06	2.05373	3000	7.77011	0.275837	0.177252	272.815	
								2	0.4	0.06	2.06887	3000	8.36587	0.296752	0.182196	278.9	
								2	0.4	0.06	0.555511	3000	33.4984	0.733456	-9999	230.936	
								2	0.4	0.06	0.609658	3000	-81.6708	0.268072	0.0931303	147.131	
								2	0.4	0.06	0.839317	3000	10.4719	0.283888	0.109751	135.132	
								2	0.4	0.06	0.43828	3000	-0.662634	0.283406	0.0261295	12.4341	
								2	0.4	0.06	0.0873417	3000	-42.2273	0.270173	-9999	248.819	
								2	0.4	0.06	0.408856	3000	-20.3693	0.275915	0.0273013	231.752	
								2	0.4	0.06	0.728619	3000	0.91488	0.289147	0.0356756	178.458	
								2	0.4	0.06	0.909147	3000	-4.43634	0.236982	0.0680553	191.779	
								2	0.4	0.06	0.340388	3000	6.99036	0.375858	0.0906998	207.185	
								2	0.4	0.06	0.393697	3000	3.11019	0.256696	0.0737305	215.942	
								2	0.4	0.06	0.668294	3000	-11.6861	0.360343	0.0529072	188.833	
								2	0.4	0.06	0.518487	3000	-7.59169	0.160797	0.150959	154.539	
								2	0.4	0.06	0.238043	3000	-0.505501	0.193582	0.0528245	309.199	
								2	0.4	0.06	1.7061	3000	46.4703	0.346584	0.186295	272.199	
								2	0.4	0.06	2.82809	3000	76.0112	0.570239	0.314093	263.71	
								2	0.4	0.06	2.60042	3000	127.779	0.607049	0.296094	260.185	
								2	0.4	0.06	2.74592	3000	190.699	0.744636	0.330606	275.473	
								2	0.4	0.06	2.62468	3000	151.908	0.633766	0.288861	275.146	
								2	0.4	0.06	2.65818	3000	211.147	0.654962	0.307769	282.999	
								2	0.4	0.06	2.49098	3000	59.2016	0.581366	0.264404	288.537	
								2	0.4	0.06	2.87986	3000	80.3244	0.687539	0.312902	288.57	
								2	0.4	0.06	2.43048	3000	45.6097	0.795693	0.272767	276.288	
								2	0.4	0.06	1.97666	3000	61.7611	0.604104	0.254099	268.807	
								2	0.4	0.06	2.39528	3000	39.2855	0.685373	0.269805	288.47	
								2	0.4	0.06	2.58996	3000	43.9355	0.734924	0.304091	292.519	
								2	0.4	0.06	2.81736	3000	34.9571	0.606482	0.302703	292.386	
								2	0.4	0.06	2.8587	3000	39.0969	0.719392	0.328087	284.244	
								2	0.4	0.06	3.48126	3000	41.9862	0.78905	0.384295	282.089	
								2	0.4	0.06	3.02237	3000	25.7443	0.601339	0.305438	287.744	
								2	0.4	0.06	2.90247	3000	22.0296	0.579839	0.306806	290.029	
								2	0.4	0.06	2.75744	3000	16.4623	0.492454	0.282976	287.567	
								2	0.4	0.06	2.8536	3000	16.2736	0.422885	0.279525	286.196	
